ich i
einschränkend restrictive
synergie synergy
silberstreif lining
kompass compass
ausbreitung proliferation
verführerisch tempting
fasst summarizes
positioniert positioned
selbstsucht selfishness
mystische mystic
anwendbar applicable
aufnahme recording
geladene charged
quadratzentimeter centimeter
internationale international
politik politics
eindringliche immersive
zellengenosse cellmate
formationen formations
ernte crop
nahrung food
umweltfreundliche environmentally
vorgefassten preconceived
intoleranz intolerance
geprüften peer-reviewed
computergenerierte computer-generated
herzzerreißenden heartbreaking
symphonien symphonies
wendepunkt tipping
dravidischen dravidian
unerträglich intolerable
gelehrte scholar
wahllokalen polling
schifffahrt shipping
vorindustriellen pre-industrial
mexiko mexico
überschwemmungen floods
subkultur subculture
bahnen paths
hände hands
rampen ramps
umkleide dressing
fahrerloses driverless
ngramme n-grams
klebten pasted
frieden peace
missbrauch abuses
republikanischen republican
höheren higher-level
humanisierende humanizing
elisabethanischen elizabethan
engagierten dedicated
achterbahn rollercoaster
einwände objections
zentriert centered
markierten marked
faltverhältnis folding
letztendlich ultimately
mukoviszidose cystic
nagelkopf pinhead
kampfwagen chariot
zügel reins
manifestieren manifest
geweint cried
erfasst captures
hummelflug bumblebee
aufgelistet listed
kreuzungen intersections
erhellenden eye-opening
fahrrädern bicycles
knappheit scarcity
umkehrung inversion
lernende learner
solarstrom solar-electrified
stimmen voices
bräute brides
vorarbeiter foreman
berichten reporting
generikahersteller generic
klimatischen climatic
empfehlungen recommendations
erschöpfung exhaustion
ehemanns husband's
clusterbildung clustering
vogelperspektive bird's
umgehauen blew
entsorgt disposed
alkoholismus alcoholism
subtraktion subtraction
spielknete play-doh
singapur singapore
zeitungspapier newsprint
12-jährigen 12-year-olds
unerschlossene untapped
traditionelle traditional
kamm crest
vergütung compensation
bedürftigen needy
ganzseitige full-page
werben advertise
zeitspanne span
therapeuten therapist
abgegeben emitted
beobachtete observed
verstärkten amplified
rückkopplungen feedbacks
angesammelt accumulated
mitautoren coauthors
traumatisiert traumatized
psychophysik psychophysics
mikrobiologie microbiology
ozeanographische oceanographic
platte disc
erfinder inventor
einäugiger one-eyed
wiedersehen goodbye
prinzen princes
phänotyp phenotype
kennzeichnung labeling
äußerst profoundly
nichtsdestotrotz nonetheless
altmodisch old-fashioned
unternehmens enterprise
umnutzungen retrofits
hinterland upstate
wandteppiche tapestries
fanden finding
rückfall relapse
vorsitzender chairman
abholzen logging
jenseits comprehension
beschleuniger accelerators
pestizid pesticide
vorhersagbar predictably
telepräsenz telepresence
ozeanographie oceanography
stadtplanern planners
ausdrucksvollen expressive
reaktionsfähigkeit responsiveness
absätze paragraphs
ausgerichtet aligned
bei she
ökonomen economists
beabsichtigten intended
nummer dialed
nächstgelegenen nearest
empfehlung recommendation
rollenspiele role-play
reifere mature
beeinflussung persuasion
verflixt darn
hochgeschwindigkeitskamera high-speed
gewaltfreien non-violent
kunstmaterialien supplies
grenzenlos limitless
sozialen sociable
ofenähnliche oven-like
späher scouts
seltsamer weirder
erklärten declared
elendsviertel-gemeinschaft squatter
lebensmittelläden grocery
forscherin researcher
gegenstück counterpart
philosophien philosophies
nachdenkliche thoughtful
erwachen awakening
reiche kingdoms
schreiner carpenter
namenlosen nameless
beiläufig casually
anhaltenden lasting
alltäglich commonplace
schnelle rapid
interdisziplinäres interdisciplinary
enthielt contained
ungesäuertes unleavened
verstärkung amplification
nikolajewitsch nikolayevich
zwiebelhäute skins
symmetrie symmetry
metaphysische metaphysical
erfindet invents
rumänien romania
waffenruhe-gewaltlosigkeits-tag ceasefire
orthopädie-zentrum orthopedic
entscheidungsprozesses decision-making
exzellenz excellence
sprichwörtlichen proverbial
raffinierten refined
argentinischen argentine
einsätze stakes
kneifen pinch
konzentrische concentric
ausführen execute
heilt heals
entsetzen dismay
schwager brother-in-law
bioreaktor bio-reactor
aufeinanderfolgende consecutive
wiederkehrenden recurring
hilflosigkeit helplessness
reißzwecken tacks
modernität modernity
überwiegend overwhelmingly
[chinesisch] [chinese]
analphabetismus illiteracy
systemische systemic
demoralisiert demoralized
mächtigsten mightiest
streitigkeiten disputes
lüfte heavens
unterlegenen underdog
verdauungstrakt digestive
vorgeführt demonstrated
akustiker acousticians
auflösen resolve
stoßartigen burst-pulsed
sternenlicht starlight
sehhilfen eyewear
rückgewinnung reclamation
["oscar-nominierung nominee
querschnitt cross-section
eisbären polar
unterhalten entertained
stereotyp stereotype
inhaltsverzeichnis contents
glorifiziertes glamorized
lichtdurchlässig translucent
desillusioniert disillusioned
festung fortress
dreieckigen triangular
erwärmt heats
libelle dragonfly
übertrieben overstated
genealogische genealogical
niederschlag precipitation
zwölf twelve
straßenüberführungen flyovers
blühenden thriving
feuerwehr brigade
gewünschte desired
guten high-performing
pädagogische pedagogical
spezialisieren specialize
beobachters observer's
spritzen syringes
migranten migrants
anmut gracefully
nachahmen mimicking
polizeiarbeit policing
bewertungen ratings
kaliumnitrat potassium
bellen barking
kopfüber upside
besonderheiten specifics
schweden sweden
angereichertes enriched
waffenfähiges weapons-grade
spektrallinie spectral
würdigkeit worthiness
windeln diapers
biometrischen biometric
selbsterkenntnis self-knowledge
gläsern trapped
geschäften shops
mauerwerk masonry
intuitionen intuitions
ladenbesitzer shopkeepers
warnte warned
angeordnet arranged
weiter moving
fehlverhalten misconduct
börsen exchanges
steilen steep
straftäter offenders
vorfälle incidents
ängstlich anxious
einflussreiche influential
scientologen scientologists
bequemen cushy
würger strangler
überzogene oiled
flügeln wing
spannenden thrilling
tolerieren tolerate
flüstern whisper
unfruchtbarkeit infertility
aortenklappe aortic
kambrischen cambrian
kapuzenpullover hoodie
augäpfel eyeballs
eroberung conquest
reagierte responded
verschlüsselte encrypted
quittung receipt
zwei-sechs two-six
24-stunden 24-hour
aufsicht supervision
eierstockkrebs ovarian
aufmerksam alert
demokratisiert democratized
betrügerischen deceptive
bischof bishop
tagesreise day's
gebirgszüge ranges
mathematik math
erkennbar recognizably
urgroßeltern great-grandparents
höllen hells
materialistisch materialistic
meritokratische meritocratic
unterkühlung hypothermia
portugiesische portuguese
heiler healer
weiterentwickelt evolves
gewinnchancen odds
elastischen elastic
bayesianische bayesian
oberlichter skylights
zweitgrößte second-largest
bevorstehende impending
verkürzen shorten
stolzes pride
stillen breastfeeding
pathologe pathologist
gegenwind headwind
legendäre legendary
spätburgunder pinot
lehnt leans
brichst breaking
durchschnittslohn wage
suchte sought
parasitären parasitic
hiv-negativ hiv-negative
tele-schauspieler tele-actor
schwiegermutter mother-in-law
verkäufer sellers
variiert varies
umgekehrt conversely
durchsatz throughput
mjam gobble
spektroskop spectroscope
dramatiker playwright
gehenden upright-walking
katheter catheter
lagerfeuer campfire
unzufriedenheit dissatisfaction
regeln rules
strafrichtlinien sentencing
richterin judge
entwicklungsfähigkeitschwelle viability
sinken dropping
dreieinhalb three-and-a-half
geburtsschäden defects
umwandelt converts
schnabeltassen sippy
verschlüsselung encryption
rätselraten guesswork
dozenten lecturers
panafrikanische pan-african
massen-beschleunigte crowd-accelerated
ausnehmend exquisitely
vorbürokratische pre-bureaucratic
bruttosozialprodukt gross
rechtlich legally
taten deeds
undicht leaky
evidenzbasierten evidence-based
hülle containment
stereoanlage stereo
herausfinden figuring
arbeitstag workday
unterbrechungen uninterrupted
ablenkend distracting
transzendieren transcend
unmittelbarkeit immediacy
behandelbar treatable
vogelschwarm flock
brennofen kiln
verkümmert atrophied
belüftung ventilation
ventillierte ventilated
auferlegt imposed
vorführung screening
biochemischen biochemical
gelöscht deleted
masern measles
forstwirtschaft forestry
rannten girlies
aussprache pronunciation
großmutter grandmother
videokonferenzen conferencing
zurückgewinnen regain
sternenstaub stardust
landemodul lander
besuche visits
schwer weightfully
landebahn airstrip
kannibalen cannibals
redaktion newsroom
injizierenden injectors
holzkohle charcoal
aristotelischen aristotelian
retrospektive retrospective
verteidigte defended
unnötig unnecessarily
stressig stressful
moralische moral
kurssteigerungen increments
begegnung close
optimistischen upbeat
hereinbrechenden unfolding
appelliert appeals
gehirnhälfte hemispheric
unglückliche miserable
polarisierer polarizers
alben albums
sprayte spraying
unterwasserfotograf underwater
regentropfen raindrops
ehemalige ex-steel
golfgrößen golfing
verjüngung rejuvenation
gerontologie gerontology
geschäftswelt corporate
inaktivität inactivity
jipp yip
empfängerzelle recipient
paarungsflug mating
aufgabenzuteilung allocation
zahnstocher toothpicks
nahen mid-east
bestandteil integral
brustdrüse mammary
sockenpuppe sock
gefolgschaften allegiances
eisbruchs icefall
straffällig re-offend
[imitiert [imitating
arabisch] arabic]
begrüßt greeted
skulptural sculptural
schulbezirke districts
glaubhafte credible
astrolabien astrolabes
sehschärfe acuity
vereinfachte dumbed-down
einschätzen estimating
hinrichtungen executions
umweltzerstörung degradation
inbegriff epitome
akzente accents
drogenkartelle cartels
auftauchende pop-up
märkten marketplaces
unterbewusst subconscious
13-jährige 13-year-olds
respektlosigkeit irreverence
gesundheit health
zusteuern headed
psychose psychotic
ermittlungsmethode investigative
flügelschlag flapping
gehäuse phone-shaped
vasektomie vasectomy
uninformierte uninformed
subventionierten subsidized
behördenübergreifenden private-public
öffentlich-privaten interagency
erstgeborenen first-born
verstopften clogged
muschelvergiftung shellfish
unterbrechung disrupted
kaliforniens california's
verschmutzenden polluting
querstreben bulkheads
erneuerten renewed
überzeugte persuaded
arbeiteten collaborated
reitet riding
irritiert irritated
atmet breathes
überlegungen consideration
kritikern critics
angehäuftes aggregated
schenkende giver
wörter words
urgroßvater great-grandfather
sofortnachrichten messaging
gestempelt clocked
teambildung team-building
armaturenbrett dashboard
gestehen confess
korkenzieher corkscrew
zur currently
grün greenery
beschäftigten employed
ganzjährige year-round
rassengetrennten segregated
entkam escaped
zwanghaft compulsively
unternehmungen enterprises
fortfuhr continued
kleinwüchsigen dwarfs
idealfall ideally
bedingungslos unconditionally
unmenschlich inhuman
überschneiden intersecting
vernachlässigung neglect
leihmutter surrogate
erleuchten illuminate
aufgestapelt stacked
nachhinein retrospect
abwertenden pejorative
kostengünstig inexpensive
weitreichenden far-reaching
schlamassel messes
nährwert nutritional
ausrangierten discarded
gemäßigt centrists
ölbohrung drilling
abtreibung abortion
paradoxerweise paradoxically
uhrmacher watchmaker
konditionierten conditioned
altmodische outmoded
extrinsische extrinsic
unterbezahlte underpaid
schnappen snatch
einzuteilen dividing
lyrischen lyrical
prediger preacher
religionen religions
schwindelerregende dizzying
taschenbuch paperback
einschlafen asleep
gegenüberstellung juxtaposition
fleiß industriousness
buchmobil bookmobile
verlagssystem publishing
konzertaufnahmen recordings
kapitalisten capitalists
überwältigen overwhelm
stattfindet occurring
urwüchsigen old-growth
gestein debris
aromatischen aromatic
juteleinen burlap
mumifiziert mummified
abgesondert sequestered
gefäße containers
maiskolben corncobs
versiegelt sealed
jungfernfahrt maiden
schleppten dragging
unabsichtlich unintentionally
laubbläser leaf
rezeptblock pad
physiotherapeuten therapists
jedem everyone
unangebrachte inappropriate
einmotoriges single-engine
zweiminütige two-minute
notfällen emergencies
bestäubt pollinated
apfelhain orchard
mörderische murdering
wiederherstellen reconnect
gepfiffen whistled
pfeife whistle
hybriden hybrids
botaniker botanist
schal scarf
nacheinander one-by-one
kritikpunkte criticisms
kohlebergwerken coalmines
kontaminiert contaminated
vorbeugende preventive
